obj_id,obj_type,obj_variant,trial,hexagram_name,hexagram_similarity,strategy_type,force_preset,modifier,effective_force,S_yao,inference_ms,strategy_label,difficulty,occluded,yao_relations_enabled
0,sphere,网球,0,SUI,0.9913,following_grasp,0.42,0.85,0.36,0.38,3.9,reasonable,medium,False,True
0,sphere,网球,1,SUI,0.9913,following_grasp,0.42,0.85,0.36,0.38,3.49,reasonable,medium,False,True
0,sphere,网球,2,SUI,0.9913,following_grasp,0.42,0.85,0.36,0.38,3.5,reasonable,medium,False,True
1,sphere,高尔夫球,0,LU_GUA,0.981,conditional_grasp,0.5,0.9,0.45,0.51,3.44,reasonable,medium,False,True
1,sphere,高尔夫球,1,LU_GUA,0.981,conditional_grasp,0.5,0.9,0.45,0.51,3.43,reasonable,medium,False,True
1,sphere,高尔夫球,2,LU_GUA,0.981,conditional_grasp,0.5,0.9,0.45,0.51,3.42,reasonable,medium,False,True
2,sphere,高尔夫球,0,SONG,0.9363,non_conflict_grasp,0.28,0.8,0.22,0.39,3.45,reasonable,medium,False,True
2,sphere,高尔夫球,1,SONG,0.9363,non_conflict_grasp,0.28,0.8,0.22,0.39,3.41,reasonable,medium,False,True
2,sphere,高尔夫球,2,SONG,0.9363,non_conflict_grasp,0.28,0.8,0.22,0.39,3.56,reasonable,medium,False,True
3,sphere,乒乓球,0,XU,0.9801,conditional_grasp,0.5,0.9,0.45,0.51,3.58,reasonable,medium,False,True
3,sphere,乒乓球,1,XU,0.9801,conditional_grasp,0.5,0.9,0.45,0.51,3.49,reasonable,medium,False,True
3,sphere,乒乓球,2,XU,0.9801,conditional_grasp,0.5,0.9,0.45,0.51,3.48,reasonable,medium,False,True
4,sphere,高尔夫球,0,LU_GUA,0.9657,conditional_grasp,0.5,0.9,0.45,0.51,3.55,reasonable,medium,False,True
4,sphere,高尔夫球,1,LU_GUA,0.9657,conditional_grasp,0.5,0.9,0.45,0.51,3.61,reasonable,medium,False,True
4,sphere,高尔夫球,2,LU_GUA,0.9657,conditional_grasp,0.5,0.9,0.45,0.51,3.4,reasonable,medium,False,True
5,cube,橡皮块,0,DING,0.9651,balanced_grasp,0.5,1.0,0.5,0.58,3.56,reasonable,medium,False,True
5,cube,橡皮块,1,DING,0.9651,balanced_grasp,0.5,1.0,0.5,0.58,3.5,reasonable,medium,False,True
5,cube,橡皮块,2,DING,0.9651,balanced_grasp,0.5,1.0,0.5,0.58,3.5,reasonable,medium,False,True
6,cube,木块,0,QIAN,0.9291,power_grasp,0.77,0.9,0.69,0.41,3.5,reasonable,medium,False,True
6,cube,木块,1,QIAN,0.9291,power_grasp,0.77,0.9,0.69,0.41,3.52,reasonable,medium,False,True
6,cube,木块,2,QIAN,0.9291,power_grasp,0.77,0.9,0.69,0.41,3.46,reasonable,medium,False,True
7,cube,塑料积木,0,LIN,0.9542,top_down_grasp,0.45,1.0,0.45,0.52,3.55,neutral,medium,False,True
7,cube,塑料积木,1,LIN,0.9542,top_down_grasp,0.45,1.0,0.45,0.52,3.44,neutral,medium,False,True
7,cube,塑料积木,2,LIN,0.9542,top_down_grasp,0.45,1.0,0.45,0.52,3.5,neutral,medium,False,True
8,cube,金属方块,0,FENG,0.9738,robust_power_grasp,0.71,0.95,0.67,0.76,3.55,reasonable,medium,False,True
8,cube,金属方块,1,FENG,0.9738,robust_power_grasp,0.71,0.95,0.67,0.76,3.59,reasonable,medium,False,True
8,cube,金属方块,2,FENG,0.9738,robust_power_grasp,0.71,0.95,0.67,0.76,3.57,reasonable,medium,False,True
9,cube,木块,0,SONG,0.9279,non_conflict_grasp,0.3,0.85,0.26,0.47,3.5,neutral,medium,False,True
9,cube,木块,1,SONG,0.9279,non_conflict_grasp,0.3,0.85,0.26,0.47,3.51,neutral,medium,False,True
9,cube,木块,2,SONG,0.9279,non_conflict_grasp,0.3,0.85,0.26,0.47,3.51,neutral,medium,False,True
10,cylinder,电池,0,YU,0.9541,predictive_grasp,0.41,0.9,0.37,0.46,3.5,neutral,medium,False,True
10,cylinder,电池,1,YU,0.9541,predictive_grasp,0.41,0.9,0.37,0.46,3.57,neutral,medium,False,True
10,cylinder,电池,2,YU,0.9541,predictive_grasp,0.41,0.9,0.37,0.46,3.5,neutral,medium,False,True
